Recipe,Type,Time (min),Rating,Num Ratings,Tags,Ingredient Amount,Ingredient,Method
BBQ Chicken Pizza,Refuel Meal,35,4.7,153,High protein; Family friendly,85g,self-raising flour,"Step 1: Preheat the oven to 220C. Combine the flour, baking powder and salt in a bowl and make a well in the middle. Add in the yoghurt and stir with a fork to combine until the mixture forms a rough dough. Turn out onto a lightly floured work surface and knead to form a smooth ball. Roll out into a thin round; the dough will bounce back slightly so roll it thinner than you think you'll need. Step 2: Heat a large, dry frying pan over a medium to high heat. Cook the pizza base for 2 minutes on each side until golden. Lay the base on a baking tray and spread with the passata. Toss the barbeque sauce and chicken together then arrange over the top of the pizza. Scatter the mozzarella, onion and sweetcorn over the pizza then bake for 8-10 minutes until the cheese is golden and bubbling. Scatter over the basil and serve."
BBQ Chicken Pizza,,,,,,1/4 tsp,baking powder,
BBQ Chicken Pizza,,,,,,1 pinch,salt,
BBQ Chicken Pizza,,,,,,85g,"fat-free yoghurt, greek or natural",
BBQ Chicken Pizza,,,,,,50g,passata,
BBQ Chicken Pizza,,,,,,30g,barbecue sauce,
BBQ Chicken Pizza,,,,,,150g,"cooked skinless chicken breast, diced",
BBQ Chicken Pizza,,,,,,60g,"mozzarella, grated",
BBQ Chicken Pizza,,,,,,1/2,"small red onion, peeled and finely sliced",
BBQ Chicken Pizza,,,,,,75g,"tinned sweetcorn, drained",
BBQ Chicken Pizza,,,,,,1,"small bunch basil, leaves torn",
BLT Pesto Orzo Bowl,Refuel Meal,15,4.6,84,Good on the go; Quick,75g,"lean bacon medallions, chopped","Step 1: Cook the bacon in a frying pan over a medium to high heat for 4-5 minutes or until crispy. Then remove from the pan and set to one side. Step 2: Add the orzo to the same pan and pour over the stock. Simmer on a low heat for 8 or so minutes, until al dente and the stock has been absorbed. Keep an eye on the pan as you may need to add a splash more stock. Step 3: Take the pan off the heat. Stir through the tomatoes, spinach, pesto and mozzarella. Squeeze over the lemon juice and stir the bacon through. Season to taste."
BLT Pesto Orzo Bowl,,,,,,115g,dried orzo pasta,
BLT Pesto Orzo Bowl,,,,,,390ml,vegetable stock,
BLT Pesto Orzo Bowl,,,,,,75g,"cherry tomatoes, halved",
BLT Pesto Orzo Bowl,,,,,,20g,baby spinach,
BLT Pesto Orzo Bowl,,,,,,30g,light pesto,
BLT Pesto Orzo Bowl,,,,,,45g,mozzarella pearls,
BLT Pesto Orzo Bowl,,,,,,1,"lemon, juice",
BLT Pesto Orzo Bowl,,,,,,,salt and pepper,
Banana and Cinnamon Pancakes,Refuel Meal,10,4.3,125,Family friendly; Breakfast,195g,fat-free quark,"Step 1: Put the quark, eggs, flour and pinch of salt into a liquidiser and blend until smooth. Step 2: Heat a non-stick frying pan over a medium-high heat and add the oil. Pour in enough batter to coat the base of the pan then cook for a minute on each side until golden. Repeat with the remaining batter. Step 3: Fold or stack the pancakes and serve with the banana, maple syrup and sprinkle of cinnamon."
Banana and Cinnamon Pancakes,,,,,,3,large eggs,
Banana and Cinnamon Pancakes,,,,,,30g,plain flour,
Banana and Cinnamon Pancakes,,,,,,1 pinch,salt,
Banana and Cinnamon Pancakes,,,,,,1/2 tsp,olive oil,
Banana and Cinnamon Pancakes,,,,,,1,"large banana, peeled and sliced (150g)",
Banana and Cinnamon Pancakes,,,,,,40g,maple syrup,
Banana and Cinnamon Pancakes,,,,,,1 pinch,ground cinnamon,
Bean Tacos with Roasted Chilli Salsa,Refuel Meal,30,4.7,29,Vegetarian; Plant-based,1,tomato,"Step 1: Preheat the oven to 220C. Put the tomato, onion and chilli onto a baking tray and roast for 10 minutes until blistered and softened. Peel the garlic then put into a food processor with the remaining roasted vegetables. Add half of the coriander and half of the lime juice, season with salt and pepper then blend until smooth. Step 2: Meanwhile combine the beans, chipotle paste and ground cumin in a small saucepan, add a splash of water and simmer for 5 minutes until thickened. Roughly mash half of the beans with a fork, stir in the remaining lime juice and season to taste. Step 3: Warm the tortillas under the grill until crisp, spread with the beans and top with the salsa. Scatter over the feta and the rest of the coriander and serve."
Bean Tacos with Roasted Chilli Salsa,,,,,,1/2,"red onion, peeled and cut into wedges",
Bean Tacos with Roasted Chilli Salsa,,,,,,1/2,"red chilli, deseeded",
Bean Tacos with Roasted Chilli Salsa,,,,,,1,"clove garlic, unpeeled",
Bean Tacos with Roasted Chilli Salsa,,,,,,1,"small bunch coriander, chopped",
Bean Tacos with Roasted Chilli Salsa,,,,,,1,"lime, juice",
Bean Tacos with Roasted Chilli Salsa,,,,,,,salt and pepper,
Bean Tacos with Roasted Chilli Salsa,,,,,,280g,"tinned mixed beans, drained",
Bean Tacos with Roasted Chilli Salsa,,,,,,2 tsp,chipotle paste,
Bean Tacos with Roasted Chilli Salsa,,,,,,1 tsp,ground cumin,
Bean Tacos with Roasted Chilli Salsa,,,,,,2,corn tortillas (85g),
Bean Tacos with Roasted Chilli Salsa,,,,,,30g,"feta, crumbled",
Beef Stroganoff,Refuel Meal,25,3.8,71,High protein; Good to freeze,1 1/2 tsp,olive oil,"Step 1: Bring a pan of water to the boil and cook the rice according to the packet instructions. Step 2: Meanwhile heat the oil in a heavy-based frying pan over a high heat. Add the steak and sear for a couple of minutes until browned all over, remove from the pan with a slotted spoon and transfer to a plate. Add the onion, fry for 2-3 minutes until soft, then add the mushrooms and cook for a further 5 minutes. Add the stock, bring to a simmer and cook gently for a couple of minutes. Step 3: Return the steak to the pan, bring back to a gentle simmer then remove from the heat and stir in the yoghurt and mustards. Spoon the beef over the rice, top with the parsley and serve."
Beef Stroganoff,,,,,,210g,"sirloin or rump steak, trimmed of fat, sliced",
Beef Stroganoff,,,,,,1,"onion, peeled and finely sliced",
Beef Stroganoff,,,,,,155g,"mushrooms, sliced",
Beef Stroganoff,,,,,,150ml,beef stock,
Beef Stroganoff,,,,,,85g,"fat-free yoghurt, greek or natural",
Beef Stroganoff,,,,,,1 1/2 tsp,dijon mustard,
Beef Stroganoff,,,,,,1 1/2 tsp,wholegrain mustard,
Beef Stroganoff,,,,,,95g,basmati and wild rice,
Beef Stroganoff,,,,,,1,"small bunch parsley, chopped",
Beef and Broccoli Ramen Noodles,Refuel Meal,20,3.7,70,High protein; Quick,125g,small broccoli florets,"Step 1: Place the broccoli and noodles in a bowl and pour over a kettle of boiling water and leave to sit. Meanwhile heat the oil in a frying pan over a medium to high heat, and brown the mince off. Step 2: Add the garlic, vinegar and soy to the frying pan. Drain the noodles and broccoli and add them to the pan too. Step 3: Stir the water and corn flour together then add to the noodles. Stir everything together over a low heat for a few minutes, until the sauce thickens a little. Scatter over the chilli flakes and serve."
Beef and Broccoli Ramen Noodles,,,,,,70g,dried noodles,
Beef and Broccoli Ramen Noodles,,,,,,2 tsp,sesame oil,
Beef and Broccoli Ramen Noodles,,,,,,180g,5% fat beef mince,
Beef and Broccoli Ramen Noodles,,,,,,2,"cloves garlic, peeled and crushed",
Beef and Broccoli Ramen Noodles,,,,,,2 tsp,rice vinegar,
Beef and Broccoli Ramen Noodles,,,,,,3 tsp,soy sauce,
Beef and Broccoli Ramen Noodles,,,,,,1 tbsp,water,
Beef and Broccoli Ramen Noodles,,,,,,5g,cornflour,
Beef and Broccoli Ramen Noodles,,,,,,1 pinch,chilli flakes,
Almond and Honey Pancakes with Blueberries,General Meal,,4.8,686,Vegetarian; Breakfast,45g,ground almonds,"Step 1: Combine the ground almonds, rolled oats, baking powder, egg, almond milk, half of the honey and a pinch of salt in a liquidiser and blend until smooth. Step 2: Melt the coconut oil in a non-stick frying pan and fry large spoonfuls of the batter for 1 minute until bubbles form on the surface, then flip and cook for a further 30 seconds. Repeat with the remaining batter then stack up and top with the yoghurt. Drizzle over the remaining honey and serve with the blueberries."
Almond and Honey Pancakes with Blueberries,,,,,,30g,rolled oats,
Almond and Honey Pancakes with Blueberries,,,,,,1/2 tsp,baking powder,
Almond and Honey Pancakes with Blueberries,,,,,,1,large egg,
Almond and Honey Pancakes with Blueberries,,,,,,75ml,"almond milk, unsweetened",
Almond and Honey Pancakes with Blueberries,,,,,,4 tsp,honey,
Almond and Honey Pancakes with Blueberries,,,,,,1 pinch,salt,
Almond and Honey Pancakes with Blueberries,,,,,,1 tsp,coconut oil,
Almond and Honey Pancakes with Blueberries,,,,,,1 tbsp,"yoghurt, such as greek, natural, soya",
Almond and Honey Pancakes with Blueberries,,,,,,70g,blueberries,
Aubergine Parmigiana,General Meal,,4.5,174,Vegetarian,1,"large aubergine, sliced into 1cm thick rounds","Step 1: Preheat the oven to 200C. Heat a frying pan over a medium-high heat, brush the aubergine slices with a little oil and fry in batches until golden. Remove from the pan and set aside. Step 2: Heat the remaining oil in the frying pan, add the garlic and fry for a minute. Stir in the tomato puree, tomatoes, vinegar and oregano. Simmer gently for a couple of minutes then remove from the heat and season to taste. Step 3: Spoon half of the tomato sauce into a shallow roasting dish, arrange the aubergine slices on top then spoon over the remaining sauce. Top with the mozzarella and grated parmesan then bake for 25 minutes until the cheese is bubbling."
Aubergine Parmigiana,,,,,,2 tsp,olive oil,
Aubergine Parmigiana,,,,,,1,"clove garlic, peeled and crushed",
Aubergine Parmigiana,,,,,,2 tsp,tomato puree,
Aubergine Parmigiana,,,,,,205g,tinned chopped tomatoes,
Aubergine Parmigiana,,,,,,2 tsp,red wine vinegar,
Aubergine Parmigiana,,,,,,1 pinch,dried oregano,
Aubergine Parmigiana,,,,,,,salt and pepper,
Aubergine Parmigiana,,,,,,120g,"mozzarella, sliced",
Aubergine Parmigiana,,,,,,15g,"parmesan or hard cheese, finely grated",
Avo Blast Smoothie,General Meal,5,3.8,83,Good on the go; Quick,145ml,skimmed milk,Step 1: Mega simple; just combine everything in a liquidiser and blend until smooth.
Avo Blast Smoothie,,,,,,45g,"protein powder, vanilla",
Avo Blast Smoothie,,,,,,30g,almond butter,
Avo Blast Smoothie,,,,,,30g,ground flaxseed,
Avo Blast Smoothie,,,,,,60g,"avocado, peeled and pitted",
Avo Blast Smoothie,,,,,,1 handful,baby spinach,
Avo Blast Smoothie,,,,,,1 handful,ice,
Bacon and Avocado Breakfast Tacos,General Meal,,4.8,157,Breakfast,3,rashers lean smoked back bacon,"Step 1: Preheat the grill to high. Grill the bacon for a couple of minutes on each side until crisp then chop into small pieces. Step 2: Melt the butter in a non-stick pan, add the eggs and cook gently until scrambled. Fold in the chopped bacon and season to taste. Step 3: Heat the tortillas in a dry frying pan then lay on a plate. Divide the egg and bacon mix between the tortillas then top with the avocado and coriander. Drizzle over the chilli sauce (optional) to serve."
Bacon and Avocado Breakfast Tacos,,,,,,2 tsp,butter,
Bacon and Avocado Breakfast Tacos,,,,,,3,large eggs,
Bacon and Avocado Breakfast Tacos,,,,,,,salt and pepper,
Bacon and Avocado Breakfast Tacos,,,,,,3,small corn tortillas (75g),
Bacon and Avocado Breakfast Tacos,,,,,,60g,"avocado, peeled, pitted and sliced",
Bacon and Avocado Breakfast Tacos,,,,,,1,"small bunch coriander, chopped",
Bacon and Avocado Breakfast Tacos,,,,,,,chilli sauce,
"Bacon, Egg and Cheese Frittata",General Meal,,4.6,79,Breakfast; Best for 2 servings,3,rashers lean smoked back bacon,"Step 1: Preheat the grill to high. Lay the bacon on a foil-lined tray and grill for 4-5 minutes until crisp. Leave to cool then roughly chop. Step 2: Combine the eggs, egg whites and cheeses in a large bowl, whisk until smooth then mix in the bacon and season with salt and pepper. Step 3: Melt the butter in a deep frying pan, pour the eggs into the pan then gently shake the pan and pull the eggs into the middle as they start to set. Slide the pan under the hot grill then cook for 2-3 minutes until the top of the frittata is golden brown and the eggs are just set. Remove from the grill and leave to cool slightly. Step 4: Meanwhile grill the tomatoes for 4-5 minutes until softened. Slice the frittata and serve with the grilled tomatoes."
"Bacon, Egg and Cheese Frittata",,,,,,6,large eggs,
"Bacon, Egg and Cheese Frittata",,,,,,5,egg whites,
"Bacon, Egg and Cheese Frittata",,,,,,90g,"cheddar cheese, grated",
"Bacon, Egg and Cheese Frittata",,,,,,95g,fat-free cottage cheese,
"Bacon, Egg and Cheese Frittata",,,,,,,salt and pepper,
"Bacon, Egg and Cheese Frittata",,,,,,20g,butter,
"Bacon, Egg and Cheese Frittata",,,,,,360g,cherry vine tomatoes,
Blueberry Protein Muffins,General Meal,,,,Vegetarian; Breakfast; Best for 2 servings,4,large eggs,"Step 1: Preheat the oven to 180C. Put the eggs, butter, milk and protein powder into a liquidiser and blend until smooth. Step 2: Pour into a large bowl then fold in the almonds, flour and oats. Carefully fold in the blueberries then divide the mixture between a non-stick, 6-hole muffin tin. Bake for 20 minutes until risen and golden. Step 3: Remove from the oven and leave to cool completely."
Blueberry Protein Muffins,,,,,,30g,"butter, melted",
Blueberry Protein Muffins,,,,,,50ml,semi-skimmed milk,
Blueberry Protein Muffins,,,,,,45g,"protein powder, vanilla",
Blueberry Protein Muffins,,,,,,100g,ground almonds,
Blueberry Protein Muffins,,,,,,30g,plain flour,
Blueberry Protein Muffins,,,,,,30g,rolled oats,
Blueberry Protein Muffins,,,,,,95g,"blueberries, fresh or frozen",
Broccoli and Goats' Cheese Frittata,General Meal,,4.2,21,Vegetarian; Best for 2 servings,155g,broccoli florets,"Step 1: Preheat the grill to its highest setting. Bring a pan of water to the boil, add the broccoli and blanch for 3 minutes. Drain then pat dry on kitchen paper. Step 2: Heat the oil over a high heat in a medium-sized, non-stick frying pan. Add the spring onions and fry for a couple of minutes until softened. Add the broccoli and potatoes then give the pan a shake to get everything in an even layer. Season with salt and pepper then whisk together the eggs, egg whites and parsley and pour over the top. Gently shake the pan and pull the eggs into the middle as they start to set. Step 3: Dot the goats' cheese over the top then slide the pan under the hot grill. Cook for around 3 minutes until the top of the frittata is golden brown and the eggs are set. Slide onto a board, cut into portions and serve with the salad."
Broccoli and Goats' Cheese Frittata,,,,,,2 tsp,olive oil,
Broccoli and Goats' Cheese Frittata,,,,,,105g,"spring onions, sliced",
Broccoli and Goats' Cheese Frittata,,,,,,140g,"cooked new potatoes, sliced",
Broccoli and Goats' Cheese Frittata,,,,,,,salt and pepper,
Broccoli and Goats' Cheese Frittata,,,,,,8,"large eggs, beaten",
Broccoli and Goats' Cheese Frittata,,,,,,4,"egg whites, beaten",
Broccoli and Goats' Cheese Frittata,,,,,,1,"small bunch parsley, chopped",
Broccoli and Goats' Cheese Frittata,,,,,,120g,soft goats' cheese,
Broccoli and Goats' Cheese Frittata,,,,,,,"green salad, to serve",
Budget Chocolate Orange Smoothie,General Meal,,4.6,124,Good on the go; Quick,35g,"protein powder, vanilla",Step 1: Simply place all the ingredients in a blender and blend until smooth adding a few ice cubes if you want your smoothie a little thicker.
Budget Chocolate Orange Smoothie,,,,,,60g,"yoghurt, such as greek, natural, soya",
Budget Chocolate Orange Smoothie,,,,,,1,medium banana,
Budget Chocolate Orange Smoothie,,,,,,40g,peanut butter,
Budget Chocolate Orange Smoothie,,,,,,2 tsp,cocoa powder,
Budget Chocolate Orange Smoothie,,,,,,1,"orange, zest and juice",
Budget Chocolate Orange Smoothie,,,,,,245ml,semi-skimmed milk,
Budget Crispy Chilli Beef,General Meal,,4.4,183,High protein; Good to freeze,200g,5% fat beef mince,"Step 1: Place the mince in a bowl and mix in the garlic, chilli flakes and half the ginger puree. Heat the oil in a large frying pan over a medium high heat and cook the mince for 8-10 minutes until brown all over and crispy. Step 2: Meanwhile, stir the soy sauce, remaining ginger puree and the peanut butter together in the bowl, adding a splash of boiling water to help bring it together into a sauce. Step 3: Boil the peas and broccoli in a pan of salted boiling water for a few minutes then serve everything together."
Budget Crispy Chilli Beef,,,,,,1,"clove garlic, peeled and crushed",
Budget Crispy Chilli Beef,,,,,,1/2 tsp,chilli flakes,
Budget Crispy Chilli Beef,,,,,,1 tsp,ginger puree,
Budget Crispy Chilli Beef,,,,,,3 tsp,olive oil,
Budget Crispy Chilli Beef,,,,,,15ml,soy sauce,
Budget Crispy Chilli Beef,,,,,,20g,peanut butter,
Budget Crispy Chilli Beef,,,,,,105g,peas,
Budget Crispy Chilli Beef,,,,,,105g,broccoli florets,
Budget Spring Roll Bowl,General Meal,,4.5,99,High protein,3 tsp,olive oil,"Step 1: Heat the olive oil in a frying pan over a medium to high heat and cook the mince with the ginger and garlic for a few minutes. Add in the mushrooms, cabbage and carrots. Cook everything together for around 10 minutes then stir in the soy sauce before seasoning to taste. Step 2: Serve on top of the rice noodles and scatter over the sliced spring onion."
Budget Spring Roll Bowl,,,,,,200g,lean pork mince,
Budget Spring Roll Bowl,,,,,,1 tsp,ginger puree,
Budget Spring Roll Bowl,,,,,,1,clove garlic,
Budget Spring Roll Bowl,,,,,,125g,"mushrooms, sliced",
Budget Spring Roll Bowl,,,,,,125g,"cabbage, shredded",
Budget Spring Roll Bowl,,,,,,1,"carrot, peeled and grated",
Budget Spring Roll Bowl,,,,,,1 tbsp,soy sauce,
Budget Spring Roll Bowl,,,,,,115g,cooked rice noodles,
Budget Spring Roll Bowl,,,,,,1,"spring onion, sliced",
Budget Spring Roll Bowl,,,,,,,salt and pepper,
Butter Chicken Curry,General Meal,,4.6,213,High protein; Good to freeze,20g,butter,"Step 1: Melt the butter in a saucepan over a medium to high heat. Fry the onion and chicken for a few minutes before adding the spices and tomato puree. Cook for a couple more minutes until the spices are fragrant and the tomato puree has deepened in colour. Step 2: Add the coconut milk, give everything a mix and leave to simmer gently then season to taste. Step 3: Meanwhile tip the cauliflower rice into a small pan with a splash of water and heat up over a medium to high heat. Serve the cauliflower rice with the curry, sprinkling the coriander over the top to finish."
Butter Chicken Curry,,,,,,1/2,"red onion, peeled and finely sliced",
Butter Chicken Curry,,,,,,150g,"skinless chicken breast, diced",
Butter Chicken Curry,,,,,,2 tsp,garam masala,
Butter Chicken Curry,,,,,,1/2 tsp,chilli powder,
Butter Chicken Curry,,,,,,1/2 tsp,curry powder,
Butter Chicken Curry,,,,,,20g,tomato puree,
Butter Chicken Curry,,,,,,145ml,tinned coconut milk,
Butter Chicken Curry,,,,,,,salt and pepper,
Butter Chicken Curry,,,,,,155g,cauliflower rice,
Butter Chicken Curry,,,,,,1,"small bunch coriander, chopped",
